key,module,page,component,slot,text,notes,status
leaderboard.error.unknown,dashboard,LeaderboardPage,LeaderboardPage,error_unknown,"Unknown error",,active



leaderboard.loading,dashboard,LeaderboardPage,LeaderboardPage,state_loading,"Loading…",,active
leaderboard.empty,dashboard,LeaderboardPage,LeaderboardPage,state_empty,"No data",,active

leaderboard.column.rank,dashboard,LeaderboardPage,LeaderboardPage,column_rank,"Rank",,active
leaderboard.column.user,dashboard,LeaderboardPage,LeaderboardPage,column_user,"User",,active
leaderboard.column.total,dashboard,LeaderboardPage,LeaderboardPage,column_total,"Total",,active
leaderboard.column.codex,dashboard,LeaderboardPage,LeaderboardPage,column_codex,"Codex",,active
leaderboard.column.claude,dashboard,LeaderboardPage,LeaderboardPage,column_claude,"Claude",,active
leaderboard.column.gemini,dashboard,LeaderboardPage,LeaderboardPage,column_gemini,"Gemini",,active
leaderboard.column.cursor,dashboard,LeaderboardPage,LeaderboardPage,column_cursor,"Cursor",,active
leaderboard.column.opencode,dashboard,LeaderboardPage,LeaderboardPage,column_opencode,"OpenCode",,active
leaderboard.column.openclaw,dashboard,LeaderboardPage,LeaderboardPage,column_openclaw,"OpenClaw",,active
leaderboard.column.hermes,dashboard,LeaderboardPage,LeaderboardPage,column_hermes,"Hermes",,active
leaderboard.column.kiro,dashboard,LeaderboardPage,LeaderboardPage,column_kiro,"Kiro",,active
leaderboard.column.copilot,dashboard,LeaderboardPage,LeaderboardPage,column_copilot,"GitHub Copilot",,active
leaderboard.column.kimi,dashboard,LeaderboardPage,LeaderboardPage,column_kimi,"Kimi Code",,active
leaderboard.column.kilo-cli,dashboard,LeaderboardPage,LeaderboardPage,column_kilo_cli,"Kilo CLI",,active
leaderboard.column.kilo-code,dashboard,LeaderboardPage,LeaderboardPage,column_kilo_code,"Kilo Code",,active
limits.copilot.otelHint.title,dashboard,LimitsPage,LimitsPage,otel_hint_title,"Track Copilot token usage",,active
limits.copilot.otelHint.body,dashboard,LimitsPage,LimitsPage,otel_hint_body,"Limits load via your GitHub OAuth token. To also record per-token usage, enable Copilot's OpenTelemetry export and add these lines to your shell profile (~/.zshrc or ~/.bashrc):",,active
limits.copilot.otelHint.copy,dashboard,LimitsPage,LimitsPage,otel_hint_copy,"Copy",,active
limits.copilot.otelHint.copied,dashboard,LimitsPage,LimitsPage,otel_hint_copied,"Copied",,active
leaderboard.column.supplemental,dashboard,LeaderboardPage,LeaderboardPage,column_supplemental,"Supplemental",,active


leaderboard.pagination.prev,dashboard,LeaderboardPage,LeaderboardPage,pagination_prev,"Previous",,active
leaderboard.pagination.next,dashboard,LeaderboardPage,LeaderboardPage,pagination_next,"Next",,active
leaderboard.pagination.ellipsis,dashboard,LeaderboardPage,LeaderboardPage,pagination_ellipsis,"…",,active
leaderboard.pagination.page_unknown,dashboard,LeaderboardPage,LeaderboardPage,pagination_unknown,"Page {{page}}",,active




dashboard.session_expired.copy_label,dashboard,DashboardPage,AsciiBox,body,"run npx --yes tokentracker-cli init",,active
dashboard.session_expired.copied,dashboard,DashboardPage,AsciiBox,body,"copied",,active


dashboard.install.prompt,dashboard,DashboardPage,AsciiBox,install_prompt,"Install Node.js 18+ then run:",,active
dashboard.install.cmd.init,dashboard,DashboardPage,AsciiBox,install_cmd,"npx --yes tokentracker-cli init",,active
dashboard.install.cmd.init_link_code,dashboard,DashboardPage,AsciiBox,install_cmd,"npx --yes tokentracker-cli init --link-code {{link_code}}",,active
dashboard.install.copy,dashboard,DashboardPage,AsciiBox,install_copy,"Copy install command",,active
dashboard.install.copy_base,dashboard,DashboardPage,AsciiBox,install_copy,"Copy init command",,active
dashboard.install.copied,dashboard,DashboardPage,AsciiBox,install_copy,"Copied to clipboard",,active
dashboard.install.link_code.loading,dashboard,DashboardPage,AsciiBox,install_status,"Generating private code...",,active
dashboard.install.link_code.failed,dashboard,DashboardPage,AsciiBox,install_status,"Private code unavailable",,active
dashboard.install.cmd.sync,dashboard,DashboardPage,AsciiBox,install_cmd,"npx --yes tokentracker-cli sync",,active



dashboard.daily.title,dashboard,DashboardPage,AsciiBox,title,"Daily Breakdown",,active
dashboard.daily.empty,dashboard,DashboardPage,AsciiBox,empty_state,"No data yet. Use your AI CLI then run {{cmd}}.",,active

dashboard.identity.title,dashboard,DashboardPage,IdentityCard,title,"Your Profile",,active
dashboard.identity.subtitle,dashboard,DashboardPage,IdentityCard,subtitle,"Track your coding journey",,active
dashboard.identity.fallback,dashboard,DashboardPage,IdentityCard,handle_fallback,"Anonymous",,active
dashboard.overview.layout.drag_handle,dashboard,DashboardPage,SortableCard,drag_handle_aria_label,"Drag to reorder",,active


dashboard.screenshot.twitter_text,dashboard,DashboardPage,ScreenshotShare,share_text,"{{total_tokens}} tokens on the record.\n{{model_name}} led with {{model_percent}}%.\n\nMy AI usage, unaudited →",,active

nav.usage,shared,*,Sidebar,nav_usage,"Tokens",,active
nav.limits,shared,*,Sidebar,nav_limits,"Limits",,active
nav.widgets,shared,*,Sidebar,nav_widgets,"Menu Bar & Widgets",,active
nav.leaderboard,shared,*,Sidebar,nav_leaderboard,"Leaderboard",,active
nav.collapse,shared,*,Sidebar,nav_collapse,"Collapse sidebar",,active
nav.expand,shared,*,Sidebar,nav_expand,"Expand sidebar",,active
nav.menu,shared,*,Sidebar,nav_menu,"Open navigation menu",,active
nav.close_menu,shared,*,Sidebar,nav_close_menu,"Close navigation menu",,active
nav.aside_label,shared,*,Sidebar,aside_label,"Main navigation",,active
nav.nav_label,shared,*,Sidebar,nav_label,"Primary",,active
limits.page.subtitle,ui,LimitsPage,LimitsPage,subtitle,"Rate limits and quota usage across your AI tools.",,active
limits.settings.toggle_visible,ui,LimitsPage,LimitsSettingsPanel,toggle_visible,"Toggle visibility",,active
limits.settings.display_mode_label,ui,LimitsPage,LimitsSettingsPanel,display_mode_label,"Usage Display",,active
limits.settings.display_mode_used,ui,LimitsPage,LimitsSettingsPanel,display_mode_used,"Used",,active
limits.settings.display_mode_remaining,ui,LimitsPage,LimitsSettingsPanel,display_mode_remaining,"Remaining",,active
limits.page.openSettings,ui,LimitsPage,LimitsPage,open_settings,"Display settings",,active
leaderboard.community.tokens_label,ui,LeaderboardPage,LeaderboardPage,community_tokens_label,"Tokens tracked by the community",,active
leaderboard.community.devs,ui,LeaderboardPage,LeaderboardPage,community_devs,"{{count}} developers syncing",,active
leaderboard.community.view_stats,ui,LeaderboardPage,CommunityStatsChip,view_stats,"View global community stats",,active
leaderboard.community.tokens_chip,ui,LeaderboardPage,CommunityStatsChip,tokens_chip,"Community Tokens",,active
leaderboard.community.devs_chip,ui,LeaderboardPage,CommunityStatsChip,devs_chip,"Devs",,active
leaderboard.community.modal.title,ui,LeaderboardPage,CommunityStatsModal,title,"Global Metrics",,active
leaderboard.community.modal.description,ui,LeaderboardPage,CommunityStatsModal,description,"A privacy-safe view of how the community builds with AI.",,active
leaderboard.community.modal.total_tokens,ui,LeaderboardPage,CommunityStatsModal,total_tokens,"Total Tokens",,active
leaderboard.community.modal.active_devs,ui,LeaderboardPage,CommunityStatsModal,active_devs,"Active Devs",,active
leaderboard.community.modal.active_devs_detail,ui,LeaderboardPage,CommunityStatsModal,active_devs_detail,"{{count}} syncing",,active
leaderboard.community.modal.global_spend,ui,LeaderboardPage,CommunityStatsModal,global_spend,"Est. Spend",,active
leaderboard.community.modal.global_spend_detail,ui,LeaderboardPage,CommunityStatsModal,global_spend_detail,"${{amount}} USD",,active
leaderboard.community.modal.top_models,ui,LeaderboardPage,CommunityStatsModal,top_models,"Top Models",,active
leaderboard.community.modal.all_time,ui,LeaderboardPage,CommunityStatsModal,all_time,"All time",,active
leaderboard.community.modal.tokens_title,ui,LeaderboardPage,CommunityStatsModal,tokens_title,"{{count}} tokens",,active
leaderboard.community.modal.no_data,ui,LeaderboardPage,CommunityStatsModal,no_data,"No aggregate data yet",,active
leaderboard.community.modal.activity_chart,ui,LeaderboardPage,CommunityStatsModal,activity_chart,"Daily community token activity",,active
leaderboard.community.modal.developers_short,ui,LeaderboardPage,CommunityStatsModal,developers_short,"developers",,active
leaderboard.community.modal.daily_tokens,ui,LeaderboardPage,CommunityStatsModal,daily_tokens,"Daily tokens",,active
leaderboard.community.modal.seven_day_average,ui,LeaderboardPage,CommunityStatsModal,seven_day_average,"7-day average",,active
leaderboard.community.modal.composition,ui,LeaderboardPage,CommunityStatsModal,composition,"Composition",,active
leaderboard.community.modal.token_mix,ui,LeaderboardPage,CommunityStatsModal,token_mix,"Token mix",,active
leaderboard.community.modal.token_mix.input,ui,LeaderboardPage,CommunityStatsModal,token_mix_input,"Input",,active
leaderboard.community.modal.token_mix.cache_read,ui,LeaderboardPage,CommunityStatsModal,token_mix_cache_read,"Cache read",,active
leaderboard.community.modal.token_mix.cache_write,ui,LeaderboardPage,CommunityStatsModal,token_mix_cache_write,"Cache write",,active
leaderboard.community.modal.token_mix.output,ui,LeaderboardPage,CommunityStatsModal,token_mix_output,"Output",,active
leaderboard.community.modal.token_mix.reasoning,ui,LeaderboardPage,CommunityStatsModal,token_mix_reasoning,"Reasoning",,active
leaderboard.community.modal.last_30_days,ui,LeaderboardPage,CommunityStatsModal,last_30_days,"Last 30 days",,active
leaderboard.community.modal.daily_average,ui,LeaderboardPage,CommunityStatsModal,daily_average,"Daily average",,active
leaderboard.community.modal.peak_day,ui,LeaderboardPage,CommunityStatsModal,peak_day,"Peak day",,active
leaderboard.community.modal.community_activity,ui,LeaderboardPage,CommunityStatsModal,community_activity,"Community activity",,active
leaderboard.community.modal.utc_note,ui,LeaderboardPage,CommunityStatsModal,utc_note,"Daily totals in UTC",,active
leaderboard.community.modal.ecosystem,ui,LeaderboardPage,CommunityStatsModal,ecosystem,"Ecosystem",,active
leaderboard.community.modal.provider_distribution,ui,LeaderboardPage,CommunityStatsModal,provider_distribution,"Provider distribution",,active
leaderboard.community.modal.rank,ui,LeaderboardPage,CommunityStatsModal,rank,"Rank",,active
leaderboard.community.modal.provider,ui,LeaderboardPage,CommunityStatsModal,provider,"Provider",,active
leaderboard.community.modal.usage_share,ui,LeaderboardPage,CommunityStatsModal,usage_share,"Usage share",,active
leaderboard.community.modal.developer_count,ui,LeaderboardPage,CommunityStatsModal,developer_count,"{{count}} developers",,active
leaderboard.community.modal.participation,ui,LeaderboardPage,CommunityStatsModal,participation,"Participation",,active
leaderboard.community.modal.usage_distribution,ui,LeaderboardPage,CommunityStatsModal,usage_distribution,"Lifetime usage bands",,active
leaderboard.community.modal.band.lt_1m,ui,LeaderboardPage,CommunityStatsModal,band_lt_1m,"Under 1M",,active
leaderboard.community.modal.band.1m_10m,ui,LeaderboardPage,CommunityStatsModal,band_1m_10m,"1M–10M",,active
leaderboard.community.modal.band.10m_100m,ui,LeaderboardPage,CommunityStatsModal,band_10m_100m,"10M–100M",,active
leaderboard.community.modal.band.100m_1b,ui,LeaderboardPage,CommunityStatsModal,band_100m_1b,"100M–1B",,active
leaderboard.community.modal.band.1b_plus,ui,LeaderboardPage,CommunityStatsModal,band_1b_plus,"1B+",,active
leaderboard.community.modal.developer_share_title,ui,LeaderboardPage,CommunityStatsModal,developer_share_title,"{{share}} of contributors",,active
leaderboard.community.modal.adoption,ui,LeaderboardPage,CommunityStatsModal,adoption,"Adoption",,active
leaderboard.community.modal.platforms,ui,LeaderboardPage,CommunityStatsModal,platforms,"Platforms",,active
leaderboard.community.modal.platform.darwin,ui,LeaderboardPage,CommunityStatsModal,platform_darwin,"macOS",,active
leaderboard.community.modal.platform.win32,ui,LeaderboardPage,CommunityStatsModal,platform_win32,"Windows",,active
leaderboard.community.modal.platform.linux,ui,LeaderboardPage,CommunityStatsModal,platform_linux,"Linux",,active
leaderboard.community.modal.machine_count,ui,LeaderboardPage,CommunityStatsModal,machine_count,"{{count}} anonymous installs",,active
leaderboard.community.modal.platform_privacy,ui,LeaderboardPage,CommunityStatsModal,platform_privacy,"Platform adoption uses anonymous installation hashes. No location or account identity is collected for this view.",,active
leaderboard.community.modal.model_landscape,ui,LeaderboardPage,CommunityStatsModal,model_landscape,"Model landscape",,active
leaderboard.community.modal.eyebrow,ui,LeaderboardPage,CommunityStatsModal,eyebrow,"Community intelligence",,active
leaderboard.community.modal.tokens_30d,ui,LeaderboardPage,CommunityStatsModal,tokens_30d,"Tokens · 30d",,active
leaderboard.community.modal.contributors,ui,LeaderboardPage,CommunityStatsModal,contributors,"Contributors",,active
leaderboard.community.modal.with_usage,ui,LeaderboardPage,CommunityStatsModal,with_usage,"With recorded usage",,active
leaderboard.community.modal.active_30d,ui,LeaderboardPage,CommunityStatsModal,active_30d,"Active · 30d",,active
leaderboard.community.modal.vs_previous_week,ui,LeaderboardPage,CommunityStatsModal,vs_previous_week,"vs previous 7 days",,active
leaderboard.community.modal.views,ui,LeaderboardPage,CommunityStatsModal,views,"Global metric views",,active
leaderboard.community.modal.updated,ui,LeaderboardPage,CommunityStatsModal,updated,"Updated {{time}}",,active
leaderboard.community.modal.tab.overview,ui,LeaderboardPage,CommunityStatsModal,tab_overview,"Overview",,active
leaderboard.community.modal.tab.providers,ui,LeaderboardPage,CommunityStatsModal,tab_providers,"Providers",,active
leaderboard.community.modal.tab.community,ui,LeaderboardPage,CommunityStatsModal,tab_community,"Community",,active
leaderboard.community.modal.tab.models,ui,LeaderboardPage,CommunityStatsModal,tab_models,"Models",,active
leaderboard.community.modal.note,ui,LeaderboardPage,CommunityStatsModal,note,"Aggregates are refreshed hourly from canonical community rollups. No user-level rows are exposed.",,active
shared.dialog.close,shared,*,Dialog,close,"Close dialog",,active
nav.group.general,shared,*,Sidebar,group_general,"General",,active
nav.group.tools,shared,*,Sidebar,group_tools,"Tools",,active
nav.group.account,shared,*,Sidebar,group_account,"Account",,active
nav.settings,shared,*,Sidebar,nav_settings,"Settings",,active
header.auth.open_settings,shared,*,InsforgeUserHeaderControls,open_settings,"Open settings",,active
settings.page.title,ui,SettingsPage,SettingsPage,title,"Settings",,active
settings.page.subtitle,ui,SettingsPage,SettingsPage,subtitle,"Manage your account, appearance, and display preferences.",,active
settings.section.appearance,ui,SettingsPage,SettingsPage,sec_appearance,"Appearance",,active
settings.section.account,ui,SettingsPage,SettingsPage,sec_account,"Account",,active
settings.section.limits,ui,SettingsPage,SettingsPage,sec_limits,"Limits Display",,active
settings.limits.providers,ui,SettingsPage,SettingsPage,limits_providers,"Providers",,active
settings.labs.qpd.label,ui,SettingsPage,LabsSection,qpd_label,"Analyze PR cost-efficiency",,active
settings.labs.qpd.hint,ui,SettingsPage,LabsSection,qpd_hint,"Analyze average delivery costs and effective Tokens per model from merged PRs and AI-attributed commits.",,active
settings.labs.qpd.aria,ui,SettingsPage,LabsSection,qpd_aria,"Toggle PR cost-efficiency analysis",,active
settings.labs.sessions.label,ui,SettingsPage,LabsSection,sessions_label,"Session efficiency",,active
settings.labs.sessions.hint,ui,SettingsPage,LabsSection,sessions_hint,"Analyze metadata-only edit coverage, first-pass delivery, and cost per edit across Claude and Codex.",,active
settings.labs.sessions.aria,ui,SettingsPage,LabsSection,sessions_aria,"Toggle session efficiency analysis",,active
settings.section.labs,ui,SettingsPage,LabsSection,sec_labs,"Labs",,active
qpd.card.title,ui,DashboardView,QualityPerDollarCard,title,"Quality & Avg Cost/PR",,active
qpd.card.badge,ui,DashboardView,QualityPerDollarCard,badge,"BETA",,active
qpd.card.subtitle,ui,DashboardView,QualityPerDollarCard,subtitle,"Avg token cost per delivery, from merged PRs and AI-attributed commits.",,active
qpd.card.updating,ui,DashboardView,QualityPerDollarCard,updating,"Updating…",,active
qpd.card.best_value,ui,DashboardView,QualityPerDollarCard,best_value,"Best Value",,active
qpd.card.col_model,ui,DashboardView,QualityPerDollarCard,col_model,"Model",,active
qpd.card.col_cost,ui,DashboardView,QualityPerDollarCard,col_cost,"Spend",,active
qpd.card.col_accepted,ui,DashboardView,QualityPerDollarCard,col_accepted,"PRs/Total",,active
qpd.card.col_rate,ui,DashboardView,QualityPerDollarCard,col_rate,"Rate",,active
qpd.card.col_qpd,ui,DashboardView,QualityPerDollarCard,col_qpd,"Cost/PR",,active
qpd.card.qpd_tooltip,ui,DashboardView,QualityPerDollarCard,qpd_tooltip,"Average token cost per accepted outcome (Total Spend ÷ Accepted Outcomes)",,active
qpd.card.totals,ui,DashboardView,QualityPerDollarCard,totals,"Merged {{accepted}}/{{outcomes}} PRs · Cost {{cost}}",,active
qpd.card.et,ui,DashboardView,QualityPerDollarCard,et,"Effective: {{tokens}} ({{rate}})",,active
qpd.card.et_tooltip,ui,DashboardView,QualityPerDollarCard,et_tooltip,"Effective Tokens — the share of tokens that produced accepted work vs rework",,active
qpd.card.sparse_notice,ui,DashboardView,QualityPerDollarCard,sparse_notice,"Tip: Sparse outcomes dataset might skew ratios. For precise metrics, select a narrower time window.",,active
settings.appearance.theme.label,ui,SettingsPage,SettingsPage,theme_label,"Theme",,active
settings.appearance.theme.hint,ui,SettingsPage,SettingsPage,theme_hint,"Choose how Token Tracker looks across the dashboard.",,active
settings.appearance.theme.light,ui,SettingsPage,SettingsPage,theme_light,"Light",,active
settings.appearance.theme.dark,ui,SettingsPage,SettingsPage,theme_dark,"Dark",,active
settings.appearance.theme.system,ui,SettingsPage,SettingsPage,theme_system,"System",,active
settings.appearance.currency.label,ui,SettingsPage,SettingsPage,currency_label,"Currency",,active
settings.appearance.currency.hint,ui,SettingsPage,SettingsPage,currency_hint,"Select the display currency for usage costs.",,active
settings.appearance.token_format.label,ui,SettingsPage,SettingsPage,token_format_label,"Token numbers",,active
settings.appearance.token_format.hint,ui,SettingsPage,SettingsPage,token_format_hint,"Apply K/M/B or full numbers everywhere. Hover compact values to see the exact number.",,active
settings.appearance.token_format.compact,ui,SettingsPage,SettingsPage,token_format_compact,"Compact",,active
settings.appearance.token_format.full,ui,SettingsPage,SettingsPage,token_format_full,"Full",,active
settings.appearance.currency.opt.usd,ui,SettingsPage,SettingsPage,currency_opt_usd,"USD ($)",,active
settings.appearance.currency.opt.eur,ui,SettingsPage,SettingsPage,currency_opt_eur,"EUR (€)",,active
settings.appearance.currency.opt.gbp,ui,SettingsPage,SettingsPage,currency_opt_gbp,"GBP (£)",,active
settings.appearance.currency.opt.cny,ui,SettingsPage,SettingsPage,currency_opt_cny,"CNY (¥)",,active
settings.appearance.currency.opt.jpy,ui,SettingsPage,SettingsPage,currency_opt_jpy,"JPY (¥)",,active
settings.appearance.currency.opt.hkd,ui,SettingsPage,SettingsPage,currency_opt_hkd,"HKD (HK$)",,active
settings.appearance.currency.rate_source.default,ui,SettingsPage,SettingsPage,rate_source_default,"Bundled default rate",,active
settings.appearance.currency.rate_source.fetched,ui,SettingsPage,SettingsPage,rate_source_fetched,"Source: open.er-api.com",,active
settings.appearance.currency.rate_updated,ui,SettingsPage,SettingsPage,rate_updated,"updated {{when}}",,active
settings.appearance.currency.rate_never,ui,SettingsPage,SettingsPage,rate_never,"awaiting first refresh",,active
settings.account.displayName,ui,SettingsPage,SettingsPage,display_name,"Display name",,active
settings.account.edit,ui,SettingsPage,SettingsPage,edit,"Edit",,active
settings.account.save,ui,SettingsPage,SettingsPage,save,"Save",,active
settings.account.saving,ui,SettingsPage,SettingsPage,saving,"Saving...",,active
settings.account.cancel,ui,SettingsPage,SettingsPage,cancel,"Cancel",,active
settings.account.userId,ui,SettingsPage,SettingsPage,user_id,"User ID",,active
settings.account.copyUserId,ui,SettingsPage,SettingsPage,copy_user_id,"Copy user ID",,active
settings.account.copy,ui,SettingsPage,SettingsPage,copy,"Copy",,active
settings.account.copied,ui,SettingsPage,SettingsPage,copied,"Copied",,active
settings.account.cloudSync,ui,SettingsPage,SettingsPage,cloud_sync,"Cloud sync",,active
settings.account.cloudSyncHint,ui,SettingsPage,SettingsPage,cloud_sync_hint,"Upload local usage to your Token Tracker cloud account.",,active
settings.account.publicProfile,ui,SettingsPage,SettingsPage,public_profile,"Public profile",,active
settings.account.publicProfileHint,ui,SettingsPage,SettingsPage,public_profile_hint,"Show your usage on the public leaderboard.",,active
settings.account.displayNameAnonymousHint,ui,SettingsPage,SettingsPage,display_name_anon_hint,"Anonymous — your name and avatar are hidden on the leaderboard",,active
settings.account.displayNameDisabledWhileAnon,ui,SettingsPage,SettingsPage,display_name_disabled,"Turn on the switch first to edit your name",,active
settings.account.githubUrl,ui,SettingsPage,SettingsPage,github_url,"GitHub profile",,active
settings.account.githubUrlHint,ui,SettingsPage,SettingsPage,github_url_hint,"Show a GitHub link next to your name on the leaderboard.",,active
settings.account.githubUrlPlaceholder,ui,SettingsPage,SettingsPage,github_url_placeholder,"username or https://github.com/username",,active
settings.account.githubUrlInvalid,ui,SettingsPage,SettingsPage,github_url_invalid,"Use a GitHub username or https://github.com/username URL.",,active
leaderboard.github.aria,ui,LeaderboardPage,LeaderboardPage,github_aria,"Open GitHub profile",,active
auth.callback.processing,ui,*,NativeAuthCallbackPage,processing,"Processing…",,active
auth.callback.success,ui,*,NativeAuthCallbackPage,success,"Signed in successfully",,active
auth.callback.redirecting,ui,*,NativeAuthCallbackPage,redirecting,"Returning to TokenTracker…",,active
auth.callback.failed,ui,*,NativeAuthCallbackPage,failed,"Sign-in incomplete. Please try again.",,active
auth.callback.close,ui,*,NativeAuthCallbackPage,close,"Close this page",,active
stats.period.last_7d,ui,DashboardPage,StatsPanel,period_last_7d,"7d",,active
stats.period.last_30d,ui,DashboardPage,StatsPanel,period_last_30d,"30d",,active
stats.period.avg,ui,DashboardPage,StatsPanel,period_avg,"avg",,active
stats.period.convs,ui,DashboardPage,StatsPanel,period_convs,"convs",,active
leaderboard.column.est_cost,ui,LeaderboardPage,LeaderboardPage,column_est_cost,"Est. Cost",,active
leaderboard.signin_prompt,ui,LeaderboardPage,LeaderboardPage,signin_prompt,"Sign in to join the leaderboard",,active
leaderboard.signin_button,ui,LeaderboardPage,LeaderboardPage,signin_button,"Sign In",,active
leaderboard.sync_prompt,ui,LeaderboardPage,LeaderboardPage,sync_prompt,"Enable Cloud Sync to appear in rankings",,active
leaderboard.sync_button.idle,ui,LeaderboardPage,LeaderboardPage,sync_button_idle,"Enable & Sync",,active
leaderboard.sync_button.busy,ui,LeaderboardPage,LeaderboardPage,sync_button_busy,"Syncing...",,active
leaderboard.pagination.page_size_label,ui,LeaderboardPage,LeaderboardPage,page_size_label,"Rows per page",,active
leaderboard.github.tooltipAction,ui,LeaderboardPage,LeaderboardPage,github_tooltip_action,"Click to open GitHub profile",,active
leaderboard.github.tooltipPrefix,ui,LeaderboardPage,LeaderboardPage,github_tooltip_prefix,"Set yours in",,active
leaderboard.github.tooltipSettingsLink,ui,LeaderboardPage,LeaderboardPage,github_tooltip_link,"Settings",,active
leaderboard.github.tooltipSuffix,ui,LeaderboardPage,LeaderboardPage,github_tooltip_suffix,"to appear here",,active
leaderboard.summary.percentile,ui,LeaderboardPage,LeaderboardMeChip,summary_percentile,"Top {{p}}%",,active
leaderboard.summary.jump_to_me,ui,LeaderboardPage,LeaderboardMeChip,summary_jump_to_me,"Jump to my row",,active
leaderboard.summary.view_profile,ui,LeaderboardPage,LeaderboardMeChip,summary_view_profile,"View your profile",,active
settings.account.signOut,ui,SettingsPage,SettingsPage,sign_out,"Sign out",,active
settings.account.signIn,ui,SettingsPage,SettingsPage,sign_in,"Sign in",,active
settings.account.signedOutHint,ui,SettingsPage,SettingsPage,signed_out_hint,"Sign in to manage cloud sync and leaderboard preferences.",,active
settings.section.menubar,ui,SettingsPage,SettingsPage,sec_menubar,"Menu Bar App",,active
settings.menubar.showStats,ui,SettingsPage,SettingsPage,mb_show_stats,"Show stats in menu bar",,active
settings.menubar.showStatsHint,ui,SettingsPage,SettingsPage,mb_show_stats_hint,"Display today's token count and cost beside the menu bar icon.",,active
pet.menubar.title,ui,PetPage,PetPage,pet_menubar_title,"Run in the menu bar",,active
pet.menubar.hint,ui,PetPage,PetPage,pet_menubar_hint,"Your pet replaces the menu bar icon and sprints while your AI tools burn tokens.",,active
settings.menubar.iconStyle,ui,WidgetsPage,MenuBarDisplayCard,mb_icon_style,"Menu bar icon",,active
settings.menubar.iconStyleHint,ui,WidgetsPage,MenuBarDisplayCard,mb_icon_style_hint,"Choose who lives in the menu bar. The cat and your pet run faster while your AI tools are burning tokens.",,active
settings.menubar.iconStyle.clawd,ui,WidgetsPage,MenuBarDisplayCard,mb_icon_style_clawd,"Clawd",,active
settings.menubar.iconStyle.cat,ui,WidgetsPage,MenuBarDisplayCard,mb_icon_style_cat,"Cat",,active
settings.menubar.iconStyle.pet,ui,WidgetsPage,MenuBarDisplayCard,mb_icon_style_pet,"My pet",,active
settings.menubar.iconStyle.static,ui,WidgetsPage,MenuBarDisplayCard,mb_icon_style_static,"Static",,active
settings.menubar.toastOnReset,ui,SettingsPage,SettingsPage,mb_reset_toast,"Toast on limits reset",,active
settings.menubar.toastOnResetHint,ui,SettingsPage,SettingsPage,mb_reset_toast_hint,"Show a brief message when a usage limit resets.",,active
settings.menubar.confettiOnReset,ui,SettingsPage,SettingsPage,mb_confetti,"Confetti on limits reset",,active
settings.menubar.confettiOnResetHint,ui,SettingsPage,SettingsPage,mb_confetti_hint,"Set off a fireworks celebration when a usage limit resets after you were near it.",,active
settings.menubar.appearance,ui,SettingsPage,MenuBarSection,mb_appearance,"Menu bar display & icon",,active
settings.menubar.appearanceHint,ui,SettingsPage,MenuBarSection,mb_appearance_hint,"Stats, metric slots, and the animated icon live on the Menu Bar & Widgets page.",,active
settings.menubar.appearanceLink,ui,SettingsPage,MenuBarSection,mb_appearance_link,"Open",,active
settings.menubar.launchAtLogin,ui,SettingsPage,SettingsPage,mb_login,"Launch at login",,active
settings.menubar.launchAtLoginHint,ui,SettingsPage,SettingsPage,mb_login_hint,"Start TokenTrackerBar automatically when you sign in to macOS.",,active
settings.menubar.syncNow,ui,SettingsPage,SettingsPage,mb_sync_now,"Sync now",,active
settings.menubar.syncNowHint,ui,SettingsPage,SettingsPage,mb_sync_now_hint,"Trigger an immediate parse and upload of local AI tool logs.",,active
settings.menubar.syncing,ui,SettingsPage,SettingsPage,mb_syncing,"Syncing…",,active
settings.menubar.updates,ui,SettingsPage,SettingsPage,mb_updates,"Updates",,active
settings.menubar.checkUpdates,ui,SettingsPage,SettingsPage,mb_check_updates,"Check for updates",,active
settings.footer.statusPage,ui,SettingsPage,NativeAppFooter,status_page,"System status",,active
menubar.slot.primary,ui,WidgetsPage,MenuBarDisplayCard,slot_primary,"Primary slot",,active
menubar.slot.secondary,ui,WidgetsPage,MenuBarDisplayCard,slot_secondary,"Secondary slot",,active
menubar.native_only,ui,WidgetsPage,MenuBarDisplayCard,native_only,"Open TokenTrackerBar for macOS to edit the live menu bar display.",,active
menubar.metric.today_tokens,ui,WidgetsPage,MenuBarDisplayCard,metric_today_tokens,"Today Tokens",,active
menubar.metric.today_cost,ui,WidgetsPage,MenuBarDisplayCard,metric_today_cost,"Today Cost",,active
menubar.metric.last_7d_tokens,ui,WidgetsPage,MenuBarDisplayCard,metric_last_7d,"Last 7 Days",,active
menubar.metric.total_tokens,ui,WidgetsPage,MenuBarDisplayCard,metric_total_tokens,"Total Tokens",,active
menubar.metric.total_cost,ui,WidgetsPage,MenuBarDisplayCard,metric_total_cost,"Total Cost",,active
menubar.metric.claude_5h,ui,WidgetsPage,MenuBarDisplayCard,metric_claude_5h,"Claude 5h Limit",,active
menubar.metric.claude_7d,ui,WidgetsPage,MenuBarDisplayCard,metric_claude_7d,"Claude 7d Limit",,active
menubar.metric.codex_5h,ui,WidgetsPage,MenuBarDisplayCard,metric_codex_5h,"Codex 5h Limit",,active
menubar.metric.codex_7d,ui,WidgetsPage,MenuBarDisplayCard,metric_codex_7d,"Codex 7d Limit",,active
